"NO_SPOOL","DIA","Length","Weight","MemberCount","JointCount","Emergency","ApplyLeadTime","STG","Service","Pass","Sch","Material","제작협력사","도장협력사","Plan_makingLT","Actual_makingLT","Predicted_makingLT","Plan_paintingLT","Actual_paintingLT","Predicted_paintingLT"
"SN2126B7PU1200145","30.0","2490.0","1470.43","5.0","4.0","1.0","정상","50.0","RN","B","S-30","LTCS","건일산업(주)","건일산업(주)","17.0","28.0","32.972443","11.0","14.0","16.686754"
"SN2126B7PU1125821","1.5","1216.0","12.73","5.0","4.0","1.0","정상","30.0","AI","B","S-80","CS","성일SIM함안공장","하이에어","19.0","21.0","23.517746","13.0","14.0","17.12946"
"SN2126B7PU1314511","1.0","2219.0","9.338","3.0","2.0","1.0","정상","50.0","DN","B","S-80S","SS","성일","하이에어","19.0","18.0","19.709944","16.0","9.0","18.488033"
"SN2126B7PU1123536","0.5","145.0","2.178","6.0","5.0","1.0","정상","30.0","CHS","A","S-80","CS","(주)성광테크","(주)성광테크","27.0","23.0","20.146177","13.0","24.0","16.895794"
"SN2126B7PU1126752","1.0","1723.0","12.964","8.0","7.0","1.0","정상","50.0","AU","A","S-80","CS","건일산업(주)","건일산업(주)","24.0","9.0","23.931103","14.0","18.0","20.402699"
"SN2126B7PU1702758","8.0","1990.0","123.232999999999","3.0","2.0","1.0","정상","50.0","FW","B","T-6.35","CN","부흥","하이에어","19.0","22.0","24.535492","20.0","15.0","15.026659"
"SN2126B7PU1120658","4.0","916.0","48.36","7.0","6.0","1.0","정상","40.0","HWR","B","S-40","CS","성일SIM함안공장","하이에어","31.0","24.0","26.248245","20.0","40.0","18.770023"
"SN2126B7PU1316938","2.0","806.0","14.776","7.0","6.0","1.0","정상","30.0","RN","A","S-10S","SS","삼성중공업(주)거제","성도","0.0","61.0","47.31133","21.0","11.0","16.38426"
"SN2126B7PU1312415","2.0","1400.0","5.553","1.0","0.0","0.0","정상","50.0","NL","B","S-10S","SS","삼성중공업(주)거제","하이에어","1.0","57.0","41.75537","1.0","22.0","19.77163"
"SN2126B7PU1120631","12.0","10200.0","552.092","5.0","4.0","1.0","정상","50.0","FWH","A","S-20","CS","건일산업(주)","건일산업(주)","26.0","25.0","21.924185","13.0","47.0","18.35874"
"SN2126B7PU1704522","1.0","1181.0","13.154","13.0","5.0","1.0","정상","50.0","FW","A","T-3.2","CN","부흥","하이에어","17.0","23.0","38.21083","19.0","32.0","16.575985"
"SN2126B7PU1120985","2.0","1298.0","21.033","6.0","5.0","1.0","정상","40.0","CHS","B","S-80","CS","건일산업(주)","건일산업(주)","32.0","29.0","31.130375","11.0","25.0","19.279427"
"SN2126B7PU1120273","2.0","1528.0","25.646","9.0","8.0","1.0","정상","30.0","N","B","S-80","CS","(주)성광테크","(주)성광테크","23.0","20.0","22.61486","13.0","16.0","17.488548"
"SN2126B7PU1117186","1.0","381.0","1.234","1.0","0.0","1.0","정상","30.0","AU","A","S-80","CS","(주)성광테크","(주)성광테크","34.0","39.0","20.7952","13.0","19.0","17.109852"
"SN2126B7PU1704453","1.5","990.0","20.868","19.0","8.0","1.0","정상","30.0","FA","B","T-3.81","CN","부흥","하이에어","22.0","28.0","31.213829","21.0","6.0","14.626712"
"SN2126B7PU1704837","6.0","1044.0","52.45","3.0","2.0","1.0","정상","50.0","FW","B","T-6.35","CN","부흥","하이에어","20.0","25.0","23.26479","13.0","9.0","15.042515"
"SN2126B7PU1134108","8.0","374.0","110.175","3.0","2.0","1.0","정상","40.0","PG","A","S-80","CS","성일SIM함안공장","하이에어","17.0","25.0","25.57287","19.0","19.0","17.168255"
"SN2126B7PU1135106","0.75","100.0","0.22","1.0","0.0","1.0","최소","50.0","N","A","S-80","CS","건일산업(주)","건일산업(주)","4.0","6.0","13.299946","8.0","1.0","12.43477"
"SN2126B7PU1131556","1.0","0.0","7.88299999999999","8.0","0.0","1.0","준긴급","30.0","DH","B","S-80","CS","(주)성광테크","(주)성광테크","12.0","17.0","20.165722","8.0","9.0","13.778849"
"SN2126B7PU1124196","0.75","75.0","1.065","2.0","1.0","0.0","정상","30.0","AI","B","S-80","CS","(주)성광테크","(주)성광테크","22.0","18.0","22.37174","14.0","19.0","19.25153"
"SN2126B7PU1J00455","10.0","0.0","925.025","8.0","7.0","0.0","정상","50.0","N","A","S-60","CS","건일산업(주)","삼녹","1.0","21.0","21.86022","17.0","17.0","16.842579"
"SN2126B7PU1131517","1.5","500.0","47.826","12.0","11.0","1.0","정상","30.0","MT","A","S-XXS","CS","건일산업(주)","건일산업(주)","38.0","57.0","48.32005","11.0","15.0","17.273163"
"SN2126B7PU1704009","6.0","804.0","101.899","8.0","7.0","1.0","정상","30.0","FA","B","T-6.35","CN","부흥","하이에어","39.0","32.0","23.361809","11.0","13.0","14.62795"
"SN2126B7PU1200265","30.0","3906.0","1892.65","7.0","5.0","1.0","정상","40.0","RN","B","T-17.48","LTCS","(주)성광테크","(주)성광테크","27.0","21.0","35.442085","13.0","19.0","18.681877"
"SN2126B7PU1314801","28.0","5000.0","2116.73","14.0","11.0","1.0","정상","40.0","N","B","S-20","SS","건일산업(주)","하이에어","33.0","51.0","42.186127","13.0","13.0","13.979682"
"SN2126B7PU1129246","2.0","2748.0","41.78","5.0","4.0","1.0","정상","50.0","N","A","S-160","CS","건일산업(주)","건일산업(주)","19.0","19.0","22.236607","14.0","18.0","19.185413"
"SN2126B7PU1128314","1.0","5800.0","39.321","8.0","7.0","1.0","정상","50.0","DF","B","S-160","CS","(주)성광테크","(주)성광테크","19.0","18.0","25.447285","11.0","12.0","15.643838"
"SN2126B7PU1121265","10.0","2988.0","351.554","4.0","3.0","1.0","정상","30.0","PG","B","S-60","CS","성일SIM함안공장","성일SIM함안공장","23.0","17.0","25.037941","13.0","37.0","19.252354"
"SN2126B7PU1312526","2.0","1493.0","13.293","6.0","4.0","1.0","정상","50.0","WD","A","S-10S","SS","삼성중공업(주)거제","성도","19.0","30.0","38.946667","13.0","11.0","18.174038"
"SN2126B7PU1130031","2.0","710.0","11.85","5.0","4.0","1.0","정상","50.0","N","A","S-80","CS","성일SIM함안공장","성일SIM함안공장","27.0","25.0","23.805067","21.0","11.0","16.523716"
"SN2126B7PU1126613","2.0","1377.0","36.251","11.0","10.0","1.0","정상","40.0","DA","A","S-160","CS","(주)성광테크","(주)성광테크","31.0","37.0","34.20045","11.0","13.0","15.296917"
"SN2126B7PU1118240","2.0","1398.0","24.267","5.0","4.0","1.0","정상","40.0","AU","B","S-80","CS","(주)성광테크","(주)성광테크","17.0","13.0","21.456303","21.0","14.0","16.861082"
"SN2126B7PU1315982","1.0","2124.0","10.18","4.0","3.0","1.0","정상","30.0","CDD","A","S-80S","SS","건일산업(주)","건일산업(주)","17.0","25.0","19.244852","14.0","14.0","14.469628"
"SN2126B7PU1120246","1.0","597.0","4.51699999999999","7.0","6.0","1.0","정상","30.0","FWL","B","S-160","CS","성일SIM함안공장","성일SIM함안공장","30.0","36.0","29.428387","13.0","15.0","18.306747"
"SN2126B7PU1118129","2.0","1134.0","27.133","5.0","4.0","0.0","정상","40.0","CDW","A","S-160","CS","성일SIM함안공장","하이에어","1.0","58.0","51.576054","1.0","52.0","35.386524"
"SN2126B7PU1312019","3.0","6000.0","38.7","1.0","0.0","1.0","정상","40.0","PL","A","S-10S","SS","건일산업(주)","하이에어","17.0","22.0","19.36427","11.0","14.0","14.887046"
"SN2126B7PU1124633","14.0","6034.0","556.044","5.0","4.0","1.0","정상","50.0","HWS","B","S-30","CS","건일산업(주)","건일산업(주)","19.0","26.0","27.929512","14.0","18.0","22.01316"
"SN2126B7PU1702844","6.0","3000.0","87.5","1.0","0.0","0.0","정상","30.0","FW","B","T-6.35","CN","부흥","하이에어","17.0","36.0","25.059341","13.0","9.0","14.939948"
"SN2126B7PU1126454","14.0","3808.0","324.832","8.0","7.0","1.0","정상","50.0","CHS","A","S-20","CS","건일산업(주)","건일산업(주)","16.0","18.0","23.144938","21.0","15.0","16.973866"
"SN2126B7PU1121071","0.75","2223.0","4.891","1.0","0.0","1.0","정상","50.0","N","B","S-80","CS","건일산업(주)","하이에어","19.0","19.0","19.575827","13.0","15.0","19.25153"
"SN2126B7PU1128068","42.0","6000.0","2400.75","9.0","8.0","1.0","정상","40.0","CWS","A","S-STD","CS","(주)성광테크","(주)성광테크","19.0","25.0","29.675377","13.0","15.0","19.25153"
"SN2126B7PU1118806","4.0","11400.0","192.372","5.0","4.0","0.0","정상","40.0","MT","A","S-40","CS","(주)성광테크","(주)성광테크","30.0","41.0","39.69575","8.0","17.0","48.303036"
"SN2126B7PU1319845","2.0","818.0","12.804","7.0","6.0","1.0","정상","50.0","PA","A","S-10S","SS","건일산업(주)","하이에어","17.0","23.0","23.077215","19.0","33.0","16.52557"
"SN2126B7PU1201802","42.0","2442.0","6288.41","5.0","4.0","1.0","최소","50.0","RN","A","T-37","LTCS","(주)성광테크","(주)성광테크","13.0","57.0","36.13533","8.0","16.0","14.476743"
"SN2126B7PU1122001","10.0","910.0","86.002","3.0","2.0","1.0","정상","40.0","CWS","A","S-20","CS","건일산업(주)","건일산업(주)","17.0","25.0","27.297264","20.0","15.0","20.76445"
"SN2126B7PU1116482","0.75","79.0","1.074","2.0","1.0","0.0","정상","30.0","CWS","A","S-80","CS","성일SIM함안공장","성일SIM함안공장","1.0","33.0","32.432663","1.0","13.0","18.52581"
"SN2126B7PU1320003","16.0","1644.0","266.445","16.0","15.0","1.0","정상","40.0","PG","A","S-10S","SS","삼성중공업(주)거제","하이에어","81.0","49.0","40.24667","15.0","8.0","15.881304"
"SN2126B7PU1130791","0.75","0.0","1.3","1.0","0.0","1.0","정상","50.0","CHS","A","S-80","CS","건일산업(주)","건일산업(주)","19.0","9.0","19.296442","13.0","16.0","19.137335"
"SN2126B7PU1317454","2.0","1625.0","16.599","6.0","4.0","1.0","정상","50.0","WD","B","S-10S","SS","건일산업(주)","하이에어","15.0","41.0","24.323643","29.0","12.0","18.839832"
"SN2126B7PU1124750","2.0","6000.0","49.144","3.0","2.0","1.0","정상","50.0","CHS","B","S-80","CS","성일SIM함안공장","하이에어","17.0","16.0","22.765524","0.0","17.0","16.69801"
"SN2126B7PU1317785","2.0","2831.0","13.93","2.0","1.0","1.0","정상","40.0","PW","A","S-10S","SS","건일산업(주)","하이에어","19.0","35.0","19.402126","13.0","12.0","14.973313"
"SN2126B7PU1703582","8.0","3273.0","194.138","6.0","3.0","1.0","정상","50.0","FA","B","T-6.35","CN","부흥","하이에어","20.0","35.0","28.552351","14.0","9.0","16.117588"
"SN2126B7PU1124108","2.0","3765.0","32.427","3.0","2.0","1.0","정상","50.0","CHS","B","S-80","CS","성일SIM함안공장","하이에어","36.0","34.0","22.459831","11.0","12.0","16.685307"
"SN2126B7PU1117604","2.0","2243.0","42.727","7.0","6.0","0.0","정상","40.0","DN","B","S-80","CS","(주)성광테크","(주)성광테크","17.0","16.0","21.671898","25.0","21.0","19.282553"
"SN2126B7PU1311400","24.0","1501.0","398.935","4.0","3.0","1.0","정상","30.0","LNG","A","S-10S","SS","성일","하이에어","28.0","38.0","30.486462","13.0","19.0","17.954956"
"SN2126B7PU1316939","2.0","330.0","7.888","6.0","5.0","1.0","정상","30.0","RN","A","S-10S","SS","삼성중공업(주)거제","성도","1.0","50.0","46.91972","20.0","14.0","16.493416"
"SN2126B7PU1127222","12.0","2451.0","342.511999999999","17.0","19.0","1.0","정상","40.0","PA","A","S-30","CS","건일산업(주)","건일산업(주)","34.0","35.0","33.79808","13.0","16.0","18.85534"
"SN2126B7PU1702969","8.0","2928.0","148.414","6.0","5.0","1.0","정상","30.0","FW","B","T-6.35","CN","부흥","하이에어","17.0","30.0","25.592285","13.0","14.0","14.89667"
"SN2126B7PU1317585","2.0","1278.0","16.705","8.0","7.0","1.0","정상","40.0","WM","A","S-10S","SS","건일산업(주)","하이에어","17.0","22.0","23.265186","11.0","13.0","16.352425"
"SN2126B7PU1124736","14.0","2587.0","480.598","10.0","9.0","1.0","정상","30.0","HWS","B","S-30","CS","건일산업(주)","하이에어","27.0","43.0","37.134506","13.0","20.0","19.25153"
"SN2126B7PU1124821","2.0","3998.0","46.396","7.0","6.0","1.0","정상","40.0","AU","B","S-80","CS","성일SIM함안공장","성일SIM함안공장","17.0","24.0","21.81069","11.0","15.0","17.604176"
"SN2126B7PU1123106","2.0","873.0","19.354","9.0","8.0","1.0","정상","30.0","DH","A","S-80","CS","성일SIM함안공장","성일SIM함안공장","25.0","45.0","25.537525","11.0","7.0","23.872498"
"SN2126B7PU1125557","1.5","0.0","3.751","4.0","3.0","1.0","정상","50.0","N","A","S-80","CS","성일SIM함안공장","하이에어","2.0","25.0","22.054895","13.0","15.0","15.37077"
"SN2126B7PU1130457","4.0","3548.0","115.984","6.0","5.0","1.0","정상","50.0","PG","A","S-80","CS","성일SIM함안공장","하이에어","19.0","29.0","30.324162","12.0","18.0","16.314293"
"SN2126B7PU1127855","3.0","1450.0","28.1319999999999","3.0","2.0","1.0","정상","40.0","PA","A","S-80","CS","(주)성광테크","(주)성광테크","31.0","49.0","34.39053","17.0","21.0","15.967501"
"SN2126B7PU1119255","2.0","1310.0","29.826","9.0","8.0","0.0","정상","3B","CWS","B","S-80","CS","성일SIM함안공장","하이에어","26.0","50.0","40.08212","8.0","53.0","35.778976"
"SN2126B7PU1130153","1.0","98.0","0.318","1.0","0.0","1.0","정상","40.0","AI","A","S-80","CS","건일산업(주)","하이에어","9.0","11.0","21.02345","104.0","19.0","19.25153"
"SN2126B7PU1317263","14.0","4940.0","1409.81","12.0","9.0","1.0","정상","50.0","LNG","B","S-80S","SS","삼성중공업(주)거제","하이에어","19.0","42.0","37.455074","6.0","23.0","15.5910425"
"SN2126B7PU1127381","18.0","0.0","366.374","6.0","5.0","0.0","정상","40.0","N","A","S-XS","CS","성일SIM함안공장","삼녹","17.0","22.0","24.653217","18.0","29.0","22.276161"
"SN2126B7PU1320218","2.0","2398.0","12.293","4.0","3.0","1.0","정상","30.0","PG","B","S-10S","SS","삼성중공업(주)거제","하이에어","19.0","27.0","29.992903","13.0","22.0","15.915127"
"SN2126B7PU1702704","1.5","2404.0","26.201","21.0","5.0","1.0","정상","50.0","FW","A","T-3.81","CN","부흥","하이에어","28.0","34.0","44.88955","20.0","26.0","16.963802"
"SN2126B7PU1703225","6.0","1664.0","70.043","5.0","3.0","1.0","정상","30.0","FW","B","T-6.35","CN","부흥","하이에어","17.0","16.0","22.55699","13.0","13.0","14.992108"
"SN2126B7PU1123896","1.0","5441.0","26.031","3.0","2.0","1.0","정상","40.0","FWL","B","S-160","CS","건일산업(주)","하이에어","34.0","44.0","27.730785","13.0","14.0","20.033821"
"SN2126B7PU1703271","3.0","766.0","15.779","6.0","5.0","1.0","정상","50.0","FW","B","T-5.56","CN","부흥","하이에어","17.0","25.0","30.13162","11.0","18.0","15.2041645"
"SN2126B7PU1320679","4.0","2000.0","24.455","4.0","3.0","1.0","정상","50.0","PL","A","S-10S","SS","건일산업(주)","하이에어","26.0","14.0","30.783785","14.0","33.0","16.413021"
"SN2126B7PU1316013","2.0","5306.0","31.939","7.0","4.0","0.0","정상","30.0","OL","B","S-10S","SS","건일산업(주)","건일산업(주)","21.0","26.0","23.30122","20.0","14.0","19.25153"
"SN2126B7PU1316787","0.75","544.0","3.815","3.0","2.0","0.0","정상","3B","NL","B","S-80S","SS","성일","하이에어","19.0","25.0","24.044765","13.0","13.0","13.201925"
"SN2126B7PU1133034","0.75","100.0","1.12","2.0","1.0","1.0","정상","50.0","N","B","S-80","CS","성일SIM함안공장","하이에어","21.0","14.0","20.79836","13.0","12.0","15.833211"
"SN2126B7PU1124952","2.0","1900.0","24.484","5.0","4.0","1.0","정상","30.0","DH","B","S-80","CS","건일산업(주)","삼녹","20.0","25.0","22.971363","13.0","14.0","19.10344"
"SN2126B7PU1125308","12.0","1497.0","223.58","9.0","8.0","1.0","정상","50.0","FWL","A","S-20","CS","성일SIM함안공장","하이에어","34.0","35.0","33.945312","13.0","16.0","18.940323"
"SN2126B7PU1310659","20.0","1301.0","883.539","4.0","3.0","0.0","정상","50.0","RN","A","S-40S","SS","삼성중공업(주)거제","하이에어","24.0","36.0","33.625164","8.0","29.0","17.770912"
"SN2126B7PU1127340","1.0","332.0","1.676","2.0","1.0","1.0","정상","30.0","AU","A","S-80","CS","건일산업(주)","하이에어","17.0","25.0","21.649832","21.0","27.0","21.567078"
"SN2126B7PU1119153","1.0","5500.0","23.224","4.0","3.0","1.0","정상","40.0","N","A","S-80","CS","성일SIM함안공장","성일SIM함안공장","29.0","31.0","21.245495","11.0","28.0","15.504654"
"SN2126B7PU1120916","2.0","6000.0","49.946","4.0","3.0","1.0","정상","50.0","N","A","S-80","CS","건일산업(주)","건일산업(주)","26.0","21.0","23.53865","13.0","25.0","20.08598"
"SN2126B7PU1123733","1.0","4932.0","22.54","4.0","3.0","1.0","정상","50.0","N","A","S-80","CS","(주)성광테크","(주)성광테크","19.0","18.0","20.903313","20.0","15.0","17.170053"
"SN2126B7PU1123445","2.0","4805.0","45.781","4.0","3.0","1.0","정상","30.0","AU","B","S-80","CS","(주)성광테크","(주)성광테크","17.0","22.0","21.522295","13.0","15.0","17.019005"
"SN2126B7PU1311120","24.0","5755.0","1466.37","1.0","0.0","0.0","정상","50.0","RN","A","S-40S","SS","성일","하이에어","31.0","44.0","35.857925","8.0","39.0","14.979398"
"SN2126B7PU1126458","1.5","100.0","3.825","2.0","1.0","1.0","정상","30.0","RN","A","S-160","CS","성일SIM함안공장","하이에어","17.0","16.0","36.747303","20.0","19.0","16.865967"
"SN2126B7PU1117722","0.75","78.0","1.472","2.0","1.0","0.0","정상","40.0","NH","A","S-80","CS","성일SIM함안공장","성일SIM함안공장","1.0","33.0","32.833237","1.0","28.0","23.00315"
"SN2126B7PU1704527","1.5","1204.0","20.022","16.0","8.0","1.0","정상","50.0","FW","A","T-3.81","CN","부흥","하이에어","17.0","21.0","38.475685","19.0","34.0","17.052896"
"SN2126B7PU1126894","1.0","100.0","2.217","2.0","1.0","1.0","정상","50.0","PG","A","S-160","CS","성일SIM함안공장","하이에어","21.0","14.0","19.643974","14.0","12.0","17.216837"
"SN2126B7PU1316909","2.0","5435.0","32.539","7.0","4.0","0.0","준긴급","30.0","WD","B","S-10S","SS","성일","하이에어","10.0","13.0","16.845205","8.0","11.0","12.284176"
"SN2126B7PU1320684","6.0","4708.0","207.527","11.0","9.0","1.0","정상","50.0","PG","B","S-40S","SS","건일산업(주)","하이에어","26.0","25.0","28.213226","14.0","25.0","15.980742"
"SN2126B7PU1317660","2.0","5800.0","32.9869999999999","5.0","2.0","1.0","정상","40.0","DM","B","S-10S","SS","삼성중공업(주)거제","하이에어","19.0","25.0","33.188137","13.0","18.0","20.110231"
"SN2126B7PU1126523","1.5","3837.0","32.419","6.0","5.0","1.0","정상","30.0","CHS","B","S-80","CS","성일SIM함안공장","하이에어","17.0","16.0","21.41031","20.0","19.0","18.259022"
"SN2126B7PU1132742","1.0","276.0","3.328","4.0","3.0","1.0","정상","30.0","AI","A","S-80","CS","건일산업(주)","건일산업(주)","19.0","18.0","24.130365","13.0","27.0","19.790058"
"SN2126B7PU1135077","1.0","443.0","9.953","7.0","6.0","1.0","정상","50.0","WM","A","S-160","CS","건일산업(주)","건일산업(주)","19.0","12.0","28.047821","13.0","15.0","17.281265"
"SN2126B7PU1310241","28.0","610.0","537.468","2.0","1.0","1.0","정상","50.0","RN","B","S-20","SS","건일산업(주)","하이에어","26.0","19.0","30.148518","13.0","26.0","15.4772415"
"SN2126B7PU1124126","3.0","2459.0","34.422","3.0","2.0","0.0","정상","30.0","CWS","B","S-40","CS","성일SIM함안공장","성일SIM함안공장","21.0","22.0","26.846489","14.0","27.0","21.406874"
"SN2126B7PU1120692","1.0","360.0","5.504","7.0","6.0","1.0","정상","30.0","AU","A","S-80","CS","성일SIM함안공장","하이에어","25.0","50.0","38.798176","11.0","10.0","17.390379"
"SN2126B7PU1311647","1.0","910.0","6.676","6.0","5.0","1.0","정상","50.0","WD","B","S-80S","SS","삼성중공업(주)거제","성도","17.0","36.0","39.045555","11.0","14.0","21.047543"
"SN2126B7PU1320701","3.0","4634.0","67.138","5.0","4.0","1.0","정상","50.0","PM","A","S-40S","SS","건일산업(주)","하이에어","19.0","16.0","25.396889","11.0","16.0","16.972956"
"SN2126B7PU1127595","8.0","3840.0","143.679","2.0","1.0","1.0","정상","50.0","HWS","A","S-20","CS","(주)성광테크","(주)성광테크","17.0","8.0","19.607882","15.0","15.0","20.837852"
"SN2126B7PU1318536","2.0","1598.0","16.222","5.0","4.0","1.0","정상","30.0","PL","B","S-40S","SS","건일산업(주)","건일산업(주)","24.0","18.0","20.096174","11.0","16.0","15.197892"
"SN2126B7PU1127935","6.0","2880.0","81.389","1.0","0.0","1.0","정상","50.0","PL","A","S-40","CS","건일산업(주)","건일산업(주)","1.0","19.0","15.713546","1.0","38.0","17.780464"
"SN2126B7PU1703052","1.0","141.0","3.577","6.0","0.0","1.0","정상","70.0","FW","P","S-80S","CN","부흥","하이에어","19.0","22.0","22.222898","20.0","13.0","12.536508"
"SN2126B7PU1310218","2.0","6000.0","32.982","11.0","8.0","0.0","정상","3B","NL","B","S-10S","SS","성일","하이에어","19.0","31.0","28.396622","13.0","12.0","14.121376"
"SN2126B7PU1134410","1.0","1754.0","6.555","3.0","2.0","1.0","정상","50.0","N","A","S-80","CS","성일SIM함안공장","하이에어","19.0","16.0","21.547018","14.0","15.0","15.512595"
"SN2126B7PU1312479","2.0","6000.0","23.6","1.0","0.0","1.0","정상","50.0","VA","B","S-10S","SS","삼성중공업(주)거제","성도","19.0","30.0","29.295158","13.0","11.0","16.754942"
"SN2126B7PU1312378","3.0","6000.0","73.91","2.0","0.0","0.0","정상","3B","FWL","A","S-40S","SS","성일","하이에어","28.0","27.0","22.890846","13.0","10.0","13.95618"
"SN2126B7PU1314464","0.75","836.0","5.629","11.0","10.0","1.0","정상","40.0","DH","A","S-80S","SS","삼성중공업(주)거제","성도","27.0","49.0","44.527508","11.0","9.0","16.445232"
"SN2126B7PU1311935","14.0","692.0","335.381999999999","6.0","5.0","0.0","정상","40.0","RN","A","S-40S","SS","건일산업(주)","건일산업(주)","22.0","29.0","25.397068","14.0","11.0","15.424643"
"SN2126B7PU1118703","3.0","3158.0","90.266","7.0","6.0","1.0","정상","3B","PL","A","S-80","CS","건일산업(주)","건일산업(주)","19.0","31.0","27.239922","14.0","15.0","19.296707"
"SN2126B7PU1134013","3.0","2623.0","54.964","6.0","5.0","1.0","정상","30.0","PG","B","S-80","CS","건일산업(주)","건일산업(주)","19.0","24.0","26.828247","13.0","13.0","20.789242"
"SN2126B7PU1125750","4.0","5461.0","124.193","9.0","8.0","1.0","정상","50.0","N","A","S-40","CS","건일산업(주)","하이에어","19.0","25.0","32.69156","13.0","27.0","21.57801"
"SN2126B7PU1200712","30.0","1611.0","2633.81","6.0","5.0","1.0","정상","40.0","RN","A","T-26.97","LTCS","(주)성광테크","(주)성광테크","25.0","25.0","35.987183","11.0","15.0","18.565376"
"SN2126B7PU1130924","3.0","1922.0","52.272","6.0","5.0","1.0","정상","30.0","PL","B","S-80","CS","건일산업(주)","건일산업(주)","26.0","20.0","26.050177","19.0","27.0","18.05695"
"SN2126B7PU1201551","30.0","1266.0","1272.14","5.0","4.0","1.0","정상","40.0","RN","B","T-26.97","LTCS","(주)성광테크","(주)성광테크","20.0","32.0","34.14441","13.0","15.0","17.671024"
"SN2126B7PU1120652","18.0","5549.0","838.59","5.0","4.0","1.0","정상","40.0","CWR","B","S-20","CS","성일SIM함안공장","성일SIM함안공장","31.0","30.0","24.783064","0.0","30.0","19.698952"
"SN2126B7PU1312261","2.0","6000.0","34.28","6.0","3.0","0.0","정상","50.0","WD","A","S-10S","SS","삼성중공업(주)거제","하이에어","1.0","60.0","37.193367","1.0","22.0","23.713661"
"SN2126B7PU1132160","3.0","2966.0","46.091","2.0","1.0","1.0","정상","30.0","CDW","B","S-80","CS","건일산업(주)","건일산업(주)","34.0","38.0","26.883352","13.0","12.0","17.744484"
"SN2126B7PU1127001","6.0","2806.0","82.398","3.0","2.0","1.0","정상","40.0","HWR","B","S-40","CS","(주)성광테크","(주)성광테크","27.0","22.0","21.73394","13.0","13.0","18.917858"
"SN2126B7PU1316495","1.0","1905.0","13.409","8.0","5.0","1.0","정상","40.0","PL","A","S-80S","SS","삼성중공업(주)거제","성도","37.0","54.0","41.57759","11.0","19.0","19.420345"
"SN2126B7PU1128061","1.0","5242.0","17.364","2.0","1.0","1.0","정상","40.0","AU","A","S-80","CS","건일산업(주)","건일산업(주)","19.0","25.0","21.68186","13.0","19.0","19.8191"
"SN2126B7PU1130989","1.0","4777.0","27.646","7.0","6.0","1.0","정상","30.0","AI","B","S-80","CS","성일SIM함안공장","하이에어","27.0","17.0","25.487942","13.0","16.0","17.125332"
"SN2126B7PU1123283","2.0","914.0","21.774","10.0","9.0","1.0","정상","50.0","N","A","S-80","CS","성일SIM함안공장","하이에어","2.0","22.0","22.842112","30.0","10.0","15.666755"
"SN2126B7PU1127839","1.0","285.0","2.892","5.0","4.0","1.0","정상","50.0","N","A","S-80","CS","건일산업(주)","건일산업(주)","19.0","33.0","21.352339","13.0","17.0","17.034897"
"SN2126B7PU1126543","18.0","0.0","699.551","7.0","6.0","0.0","정상","50.0","N","B","S-XS","CS","건일산업(주)","건일산업(주)","19.0","22.0","23.209118","14.0","25.0","14.710913"
"SN2126B7PU1703253","1.5","1382.0","19.9","14.0","5.0","1.0","정상","50.0","FW","A","T-3.81","CN","부흥","하이에어","29.0","49.0","38.886806","11.0","13.0","16.769213"
"SN2126B7PU1130119","3.0","5900.0","105.682999999999","4.0","3.0","1.0","정상","30.0","PG","B","S-80","CS","(주)성광테크","(주)성광테크","27.0","16.0","23.641739","13.0","20.0","17.253452"
"SN2126B7PU1310485","2.0","6000.0","28.61","3.0","2.0","0.0","정상","50.0","OL","A","S-10S","SS","삼성중공업(주)거제","하이에어","1.0","29.0","29.207373","1.0","19.0","20.79611"
"SN2126B7PU1319534","3.0","1002.0","33.709","7.0","6.0","1.0","정상","50.0","PM","A","S-40S","SS","건일산업(주)","하이에어","20.0","23.0","30.793976","13.0","10.0","16.151833"
"SN2126B7PU1133231","1.5","107.0","3.276","2.0","1.0","1.0","정상","50.0","PM","A","S-160","CS","건일산업(주)","건일산업(주)","26.0","25.0","19.408035","13.0","18.0","18.470654"
"SN2126B7PU1317790","2.0","704.0","5.46899999999999","2.0","1.0","0.0","정상","30.0","OL","B","S-10S","SS","건일산업(주)","건일산업(주)","22.0","15.0","16.867214","14.0","22.0","19.25153"
"SN2126B7PU1200238","12.0","5000.0","3457.26","6.0","5.0","1.0","정상","3B","PG","A","T-36","LTCS","건일산업(주)","건일산업(주)","25.0","39.0","34.44568","24.0","15.0","17.5178"
"SN2126B7PU1124395","14.0","2446.0","266.933","2.0","1.0","1.0","정상","40.0","CHS","B","S-30","CS","성일SIM함안공장","하이에어","27.0","21.0","22.68268","13.0","15.0","17.10487"
"SN2126B7PU1314601","1.0","943.0","14.745","15.0","13.0","1.0","정상","40.0","DH","B","S-80S","SS","건일산업(주)","하이에어","17.0","39.0","33.2254","13.0","18.0","16.422907"
"SN2126B7PU1310383","2.0","4688.0","23.949","4.0","2.0","1.0","정상","50.0","VA","B","S-10S","SS","삼성중공업(주)거제","하이에어","31.0","38.0","31.115154","8.0","40.0","16.145931"
"SN2126B7PU1200742","20.0","1033.0","693.573","2.0","1.0","1.0","정상","40.0","RN","B","S-80","LTCS","건일산업(주)","건일산업(주)","104.0","37.0","33.422985","13.0","30.0","17.260303"
